talk_id,title,topics,description
11089,"The radical beauty of Africa, in portraits","['africa', 'art', 'beauty', 'creativity', 'photography', 'identity', 'personalgrowth', 'socialchange']","Throughout his colorful career and bodies of work, IkÃ© UdÃ© has found creative ways to reject the negative portrayal of Africans rampant in Western media. In this tour of his work, he shares evocative portraits that blend clothing, props and poses from many cultures at once into sharp takes on the varied, complex beauty of Africa."
2469,How to get back to work after a career break,"['business', 'economics', 'culture', 'personalgrowth', 'success', 'tedx', 'work', 'work-lifebalance']","If you've taken a career break and are now looking to return to the workforce, would you consider taking an internship? Career reentry expert Carol Fishman Cohen thinks you should. In this talk, hear about Cohen's own experience returning to work after a career break, her work championing the success of ""relaunchers"" and how employers are changing how they engage with return-to-work talent."
1885,My underwater robot,"['tedfellows', 'adventure', 'exploration', 'oceans', 'open-source', 'robots', 'technology', 'tedx']","David Lang is a maker who taught himself to become an amateur oceanographer -- or, he taught a robot to be one for him. In a charming talk Lang, a TED Fellow, shows how he and a network of ocean lovers teamed up to build open-sourced, low-cost underwater explorers."
2499,A sci-fi vision of love from a 318-year-old hologram,"['adventure', 'aging', 'beauty', 'communication', 'death', 'entertainment', 'exploration', 'humanity', 'future', 'literature', 'identity', 'relationships', 'performance', 'space', 'storytelling', 'universe', 'visualizations', 'sciencefiction']","Science fiction writer Monica Byrne imagines rich worlds populated with characters who defy our racial, social and gender stereotypes. In this performance, Byrne appears as a hologram named Pilar, transmitting a story of love and loss back to us from a near future when humans have colonized the universe. ""It's always funny what you think the future is going to be like versus what it turns out to be,"" she says."
1873,What doctors can learn from each other,"['health', 'healthcare', 'medicalresearch', 'publichealth']","Different hospitals produce different results on different procedures. Only, patients donât know that data, making choosing a surgeon a high-stakes guessing game. Stefan Larsson looks at what happens when doctors measure and share their outcomes on hip replacement surgery, for example, to see which techniques are proving the most effective. Could health care get better -- and cheaper -- if doctors learn from each other in a continuous feedback loop?"
46597,Can we choose to fall out of love?,"['love', 'music', 'life', 'neuroscience', 'art', 'emotions', 'mind', 'relationships', 'vulnerability', 'brain', 'memory', 'rap', 'tedx']","What's the best way to get over heartbreak? Rapper and writer Dessa came up with an unconventional approach after a chance viewing of Helen Fisher's TED Talk about the brains of the lovestruck. In a wryly funny talk, she describes how she worked with a neuroscientist to try to get her brain to fall out of love with her ex -- and shares wisdom about romance that she gained along the way."
207,Treat design as art,"['art', 'culture', 'design', 'museums', 'graphicdesign']","Paola Antonelli, design curator at New York's Museum of Modern Art, wants to spread her appreciation of design -- in all shapes and forms -- around the world."
215,An illustrated journey through Rome,"['macarthurgrant', 'ancientworld', 'art', 'cities', 'communication', 'culture', 'design', 'humor', 'books']","David Macaulay relives the winding and sometimes surreal journey toward the completion of Rome Antics, his illustrated homage to the historic city."
1245,Open science now!,"['internet', 'tedx', 'collaboration', 'open-source', 'science', 'technology', 'crowdsourcing', 'data']",What if every scientist could share their data as easily as they tweet about their lunch? Michael Nielsen calls for scientists to embrace new tools for collaboration that will enable discoveries to happen at the speed of Twitter.
2448,"Teach girls bravery, not perfection","['children', 'computers', 'future', 'education', 'inequality', 'innovation', 'personalgrowth', 'motivation', 'potential', 'programming', 'socialchange', 'teaching', 'software', 'women', 'code']","We're raising our girls to be perfect, and we're raising our boys to be brave, says Reshma Saujani, the founder of Girls Who Code. Saujani has taken up the charge to socialize young girls to take risks and learn to program -- two skills they need to move society forward. To truly innovate, we cannot leave behind half of our population, she says. ""I need each of you to tell every young woman you know to be comfortable with imperfection."""
5458,Fashion has a pollution problem -- can biology fix it?,"['bacteria', 'creativity', 'biotech', 'design', 'biology', 'fashion', 'future', 'materials', 'innovation', 'nature', 'pollution', 'sustainability', 'science', 'technology', 'water']","Natsai Audrey Chieza is a designer on a mission -- to reduce pollution in the fashion industry while creating amazing new things to wear. In her lab, she noticed that the bacteria Streptomyces coelicolor makes a striking red-purple pigment, and now she's using it to develop bold, color-fast fabric dye that cuts down on water waste and chemical runoff, compared with traditional dyes. And she isn't alone in using synthetic biology to redefine our material future; think -- ""leather"" made from mushrooms and superstrong yarn made from spider-silk protein. We're not going to build the future with fossil fuels, Chieza says. We're going to build it with biology."
966,The quantified self,"['decision-making', 'design', 'health', 'medicine', 'psychology', 'statistics', 'technology']","At TED@Cannes, Gary Wolf gives a 5-min intro to an intriguing new pastime: using mobile apps and always-on gadgets to track and analyze your body, mood, diet, spending -- just about everything in daily life you can measure -- in gloriously geeky detail."
354,Human nature and the blank slate,"['brain', 'children', 'culture', 'language', 'philosophy', 'psychology', 'science', 'books']","Steven Pinker's book The Blank Slate argues that all humans are born with some innate traits. Here, Pinker talks about his thesis, and why some people found it incredibly upsetting."
10727,How we became sisters,"['play', 'friendship', 'spokenword', 'poetry', 'personalgrowth', 'humanity']","Poets Felice Belle and Jennifer Murphy perform excerpts from their play ""Other Women,"" which is created and directed by Monica L. Williams. In a captivating journey, they weave together stories full of laughter, loyalty, tragedy and heartbreak, recalling the moments that made them sisters."
1989,What does the future hold? 11 characters offer quirky answers,"['future', 'humor', 'performance', 'theater']","Sarah Jones changes personas with the simplest of wardrobe swaps. In a laugh-out-loud improvisation, she invites 11 ""friends"" from the future on stageâfrom a fast-talking Latina to an outspoken police officerâto ask them questions supplied by the TED2014 audience."
49131,The danger of AI is weirder than you think,"['ai', 'technology', 'future', 'computers', 'algorithm', 'machinelearning']","The danger of artificial intelligence isn't that it's going to rebel against us, but that it's going to do exactly what we ask it to do, says AI researcher Janelle Shane. Sharing the weird, sometimes alarming antics of AI algorithms as they try to solve human problems -- like creating new ice cream flavors or recognizing cars on the road -- Shane shows why AI doesn't yet measure up to real brains."
8779,What comes after tragedy? Forgiveness,"['activism', 'children', 'community', 'compassion', 'communication', 'empathy', 'socialchange', 'death', 'society', 'humanity', 'violence']","On one awful night in 1995, Ples Felix's 14-year-old grandson murdered Azim Khamisa's son in a gang initiation fueled by drugs, alcohol and a false sense of belonging. The deadly encounter sent Khamisa and Felix down paths of deep meditation, to forgive and to be forgiven -- and in an act of bravery and reconciliation, the two men met and forged a lasting bond. Together, they've used their story as an outline for a better, more merciful society, where victims of tragedy can grow and heal. Prepare to be moved by their unimaginable story. ""Peace is possible,"" Khamisa says. ""How do I know that? Because I am at peace."""
260,Juggling as art ... and science,"['macarthurgrant', 'dance', 'entertainment', 'math', 'music', 'physics', 'sports']",Michael Moschen puts on a quietly mesmerizing show of juggling. Don't think juggling is an art? You might just change your mind after watching Moschen in motion.
826,Photos that changed the world,"['globalissues', 'media', 'photography', 'poverty', 'war']","Photographs do more than document history -- they make it. At TED University, Jonathan Klein of Getty Images shows some of the most iconic, and talks about what happens when a generation sees an image so powerful it can't look away -- or back."
2809,Don't feel sorry for refugees -- believe in them,"['children', 'globalissues', 'humanity', 'identity', 'immigration', 'refugees', 'socialchange']","""We have seen advances in every aspect of our lives -- except our humanity,"" says Luma Mufleh, a Jordanian immigrant and Muslim of Syrian descent who founded the first accredited school for refugees in the United States. Mufleh shares stories of hope and resilience, explaining how she's helping young people from war-torn countries navigate the difficult process of building new homes. Get inspired to make a personal difference in the lives of refugees with this powerful talk."
2522,3 reasons why we can win the fight against poverty,"['activism', 'africa', 'agriculture', 'community', 'food', 'future', 'globalissues', 'poverty', 'society', 'farming', 'globaldevelopment', 'innovation', 'audaciousproject']","Half of the world's poorest people have something in common: they're small farmers. In this eye-opening talk, social entrepreneur Andrew Youn shows how his group, One Acre Fund, is helping these farmers lift themselves out of poverty by delivering to them life-sustaining farm services that are already in use all over the world. Enter this talk believing we'll never be able to solve hunger and extreme poverty, and leave it with a new understanding of the scale of the world's biggest problems."
599,Playing with space and light,"['art', 'cities', 'design']","In the spectacular large-scale projects he's famous for (such as ""Waterfalls"" in New York harbor), Olafur Eliasson creates art from a palette of space, distance, color and light. This idea-packed talk begins with an experiment in the nature of perception."
1359,Crowdsource your health,"['tedx', 'health', 'healthcare', 'medicine', 'publichealth', 'technology', 'exercise']","You can use your smartphone to find a local ATM, but what if you need a defibrillator? Lucien Engelen shows us online innovations that are changing the way we save lives, including a crowdsourced map of local AEDs."
1826,How reliable is your memory?,"['memory', 'psychology', 'science', 'crime', 'mind', 'cognitivescience', 'sight', 'brain', 'neuroscience', 'bioethics', 'medicalresearch', 'mentalhealth', 'morality']","Psychologist Elizabeth Loftus studies memories. More precisely, she studies false memories, when people either remember things that didn't happen or remember them differently from the way they really were. It's more common than you might think, and Loftus shares some startling stories and statistics --  and raises some important ethical questions."
197,Design and destiny,"['design', 'humanity', 'humor', 'philosophy', 'storytelling']","Designer Philippe Starck -- with no pretty slides to show -- spends 18 minutes reaching for the very roots of the question ""Why design?"" Listen carefully for one perfect mantra for all of us, genius or not."
56629,The unpaid work that GDP ignores -- and why it really counts,"['globaldevelopment', 'development', 'socialchange', 'economics', 'policy']","If you: do laundry, are (or have been) pregnant, tidy up, shop for your household or do similar labor, then by GDP standards, you're unproductive. In this visionary talk, economist Marilyn Waring seeks to correct the failures of this narrow-minded system, detailing why we deserve a better way to measure growth that values not just our own livelihood but the planet's as well."
9930,The role of human emotions in science and research,"['creativity', 'emotions', 'innovation', 'science']","Do human emotions have a role to play in science and research? Material researcher Ilona Stengel suggests that instead of opposing each other, emotions and logic complement and reinforce each other. She shares a case study on how properly using emotions (like the empowering feeling of being dedicated to something meaningful) can boost teamwork and personal development -- and catalyze scientific breakthroughs and innovation."
802,The fight to end rare-animal trafficking in Brazil,"['brazil', 'activism', 'biodiversity', 'biology', 'birds', 'globalissues', 'science', 'southamerica']","Biologist Juliana Machado Ferreira, a TED Senior Fellow, talks about her work helping to save birds and other animals stolen from the wild in Brazil. Once these animals are seized from smugglers, she asks, then what?"
1895,The $80 prosthetic knee that's changing lives,"['design', 'innovation']","We've made incredible advances in technology in recent years, but too often it seems only certain fortunate people can benefit. Engineer Krista Donaldson introduces the ReMotion knee, a prosthetic device for above-knee amputees, many of whom earn less than $4 a day. The design contains best-in-class technology and yet is far cheaper than other prosthetics on the market."
1922,A new equation for intelligence,"['tedx', 'intelligence', 'mind', 'physics', 'science', 'math', 'brain', 'neuroscience', 'cognitivescience', 'future', 'gaming', 'robots', 'machinelearning', 'ai', 'extraterrestriallife', 'cosmos', 'universe', 'engineering', 'software', 'programming']","Is there an equation for intelligence? Yes. It's F = T â SÏ. In a fascinating and informative talk, physicist and computer scientist Alex Wissner-Gross explains what in the world that means."
14485,The discoveries awaiting us in the ocean's twilight zone,"['animals', 'biosphere', 'biodiversity', 'biology', 'chemistry', 'climatechange', 'environment', 'future', 'nature', 'oceans', 'science', 'water', 'marinebiology', 'audaciousproject']","What will we find in the twilight zone: the vast, mysterious, virtually unexplored realm hundreds of meters below the ocean's surface? Heidi M. Sosik of Woods Hole Oceanographic Institution wants to find out. In this wonder-filled talk, she shares her plan to investigate these uncharted waters, which may hold a million new species and 90 percent of the world's fish biomass, using submersible technology. What we discover there won't just astound us, Sosik says -- it will help us be better stewards of the world's oceans. (This ambitious idea is part of the Audacious Project, TED's initiative to inspire and fund global change.)"
2803,A celebration of natural hair,"['beauty', 'identity', 'fashion', 'inequality', 'race', 'socialchange', 'tedx', 'society', 'women']","Cheyenne Cochrane explores the role that hair texture has played in the history of being black in America -- from the heat straightening products of the post-Civil War era to the thousands of women today who have decided to stop chasing a conventional beauty standard and start embracing their natural hair. ""This is about more than a hairstyle,"" Cochrane says. ""It's about being brave enough not to fold under the pressure of others' expectations."""
17845,Can home cooking change the world?,"['tedenespaã±ol', 'southamerica', 'food', 'culture', 'socialchange', 'society', 'community']","When GastÃ³n Acurio started his now world-famous restaurant Astrid &amp; GastÃ³n in the 1990s, no one suspected that he would elevate the Peruvian home-cooking he grew up with to haute cuisine. Nearly thirty years and a storied career later, the chef wants the rest of us to embrace our culinary roots and transform the world with the meals we prepare each day. (In Spanish with English subtitles)"
488,My obsession with objects and the stories they tell,"['animals', 'art', 'birds', 'creativity', 'entertainment', 'exploration', 'film', 'technology', 'bestoftheweb']","Adam Savage talks about his fascination with the dodo bird, and how it led him on a strange and surprising double quest. It's an entertaining adventure through the mind of a creative obsessive."
877,How to engineer a viral music video,"['tedx', 'engineering', 'entertainment', 'music', 'physics']","The band OK Go dreamed up the idea of a massive Rube Goldberg machine for their next music video -- and Adam Sadowsky's team was charged with building it. He tells the story of the effort and engineering behind their labyrinthine creation that quickly became the YouTube sensation ""This Too Shall Pass."""
54713,The health benefits of clowning around,"['humor', 'medicine', 'health', 'illness', 'empathy', 'life', 'healthcare', 'art', 'children', 'play']","As a medical clown, TED Resident Matthew A. Wilson takes the old adage that laughter is the best medicine very seriously. In this heartwarming talk, he shares glimpses of how clowning around can help patients (and medical staff) navigate stressful situations -- with no side effects."
16960,Do we really own our bodies?,"['identity', 'life', 'self', 'philosophy', 'biology', 'bioethics', 'tedx']","We tend to think of our corporeal selves as the one thing we hold complete dominion over. ""My body belongs to me"" has become a statement so banal that French ministers have the phrase tattooed on their arms. Philosopher Gaspard Koenig thinks we should stop taking ownership of our bodies for granted. In this funny, example-driven talk, Koenig delves into the myriad ways we lose agency over our mortal flesh to legal, moral and corporate authorities. (In French with English subtitles)"
938,Inside an Antarctic time machine,"['climatechange', 'news', 'science', 'antarctica']","Science columnist Lee Hotz describes a remarkable project at WAIS Divide, Antarctica, where a hardy team are drilling into ten-thousand-year-old ice to extract vital data on our changing climate."
1140,The hidden beauty of pollination,"['beauty', 'bees', 'evolution', 'film', 'garden', 'insects', 'life', 'nature', 'plants', 'botany', 'science']","Pollination: it's vital to life on Earth, but largely unseen by the human eye. Filmmaker Louie Schwartzberg shows us the intricate world of pollen and pollinators with gorgeous high-speed images from his film ""Wings of Life,"" inspired by the vanishing of one of nature's primary pollinators, the honeybee."
986,Tough truths about plastic pollution,"['consumerism', 'globalissues', 'green', 'missionblue', 'oceans', 'plastic', 'anthropocene']",Artist Dianna Cohen shares some tough truths about plastic pollution in the ocean and in our lives -- and some thoughts on how to free ourselves from the plastic gyre.
1891,The 4 stories we tell ourselves about death,"['tedx', 'culture', 'death', 'history', 'humanity', 'philosophy']","Philosopher Stephen Cave begins with a dark but compelling question: When did you first realize you were going to die? And even more interesting: Why do we humans so often resist the inevitability of death? Cave explores four narratives -- common across civilizations -- that we tell ourselves ""in order to help us manage the terror of death."""
29413,Ink made of air pollution,"['pollution', 'science', 'technology', 'design', 'environment', 'art', 'invention', 'anthropocene']","What if we could capture pollution in the air around us and turn it into something useful? Inventor Anirudh Sharma shares how he created AIR-INK, a deep black ink that's made from PM 2.5 pollution. See how he hacked together a clever way to capture these tiny particlesÂ -- and make the world just a little bit cleaner in the process."
1253,How economic inequality harms societies,"['culture', 'data', 'globalissues', 'inequality', 'money', 'socialchange', 'visualizations']","We feel instinctively that societies with huge income gaps are somehow going wrong. Richard Wilkinson charts the hard data on economic inequality, and shows what gets worse when rich and poor are too far apart: real effects on health, lifespan, even such basic values as trust."
2491,Adventures of an asteroid hunter,"['astronomy', 'asteroid', 'adventure', 'discovery', 'exploration', 'collaboration', 'globalissues', 'nasa', 'nature', 'physics', 'science', 'technology', 'solarsystem', 'tedfellows', 'universe', 'space', 'tedbooks']","TED Fellow Carrie Nugent is an asteroid hunter -- part of a group of scientists working to discover and catalog our oldest and most numerous cosmic neighbors. Why keep an eye out for asteroids? In this short, fact-filled talk, Nugent explains how their awesome impacts have shaped our planet, and how finding them at the right time could mean nothing less than saving life on Earth."
786,"In the Internet age, dance evolves ...","['collaboration', 'dance', 'entertainment', 'gaming', 'performance']","The LXD (the Legion of Extraordinary Dancers) electrify the TED stage with an emerging global street-dance culture, revved up by the Internet. Directed by Jon M. Chu, this astonishing troupe of dancers and musicians show off their superpowers."
2544,How we're harnessing nature's hidden superpowers,"['animals', 'biodiversity', 'biomechanics', 'biotech', 'biology', 'books', 'dna', 'collaboration', 'design', 'evolution', 'future', 'environment', 'genetics', 'innovation', 'life', 'materials', 'plants', 'nature', 'science', 'technology']","What do you get when you combine the strongest materials from the plant world with the most elastic ones from the insect kingdom? Super-performing materials that might transform ... everything. Nanobiotechnologist Oded Shoseyov walks us through examples of amazing materials found throughout nature, in everything from cat fleas to sequoia trees, and shows the creative ways his team is harnessing them in everything from sports shoes to medical implants."
103,How to truly listen,"['creativity', 'entertainment', 'livemusic', 'music', 'performance']","In this soaring demonstration, deaf percussionist Evelyn Glennie illustrates how listening to music involves much more than simply letting sound waves hit your eardrums."
1336,Extreme swimming with the world's most dangerous jellyfish,"['culture', 'extremesports', 'fear', 'sports', 'success']","In the 1970s, Diana Nyad set long-distance swim records that are still unbroken. Thirty years later, at 60, she attempted her longest swim yet, from Cuba to Florida. In this funny, powerful talk at TEDMED, she talks about how to prepare mentally to achieve an extreme dream, and asks: What will YOU do with your wild, precious life?"
1699,My invention that made peace with lions,"['agriculture', 'biodiversity', 'technology']","In the Maasai community where Richard Turere lives with his family, cattle are all-important. But lion attacks were growing more frequent. In this short, inspiring talk, the young inventor shares the solar-powered solution he designed to safely scare the lions away."
1784,Meet global corruption's hidden players,"['business', 'corruption', 'energy', 'globalissues']","When the son of the president of a desperately poor country starts buying mansions and sportscars on an official monthly salary of $7,000, Charmian Gooch suggests, corruption is probably somewhere in the picture. In a blistering, eye-opening talk (with several specific examples), she details how global corruption trackers follow the money -- to some surprisingly familiar faces."
1520,Imaging at a trillion frames per second,"['innovation', 'invention', 'photography', 'technology']","Ramesh Raskar presents femto-photography, a new type of imaging so fast it visualizes the world one trillion frames per second, so detailed it shows light itself in motion. This technology may someday be used to build cameras that can look âaroundâ corners or see inside the body without X-rays."
54838,Why winning doesn't always equal success,"['success', 'sports', 'leadership', 'empathy', 'compassion', 'emotions', 'trust', 'humanity', 'society', 'socialchange', 'philosophy']","Valorie Kondos Field knows a lot about winning. As the longtime coach of the UCLA women's gymnastics team, she won championship after championship and has been widely acclaimed for her leadership. In this inspiring, brutally honest and, at times, gut-wrenching talk, she shares the secret to her success. Hint: it has nothing to do with ""winning."""
1598,Metal that breathes,"['tedx', 'architecture', 'art', 'climatechange', 'design', 'invention', 'materials', 'sustainability', 'technology']","Modern buildings with floor-to-ceiling windows give spectacular views, but they require a lot of energy to cool. Doris Kim Sung works with thermo-bimetals, smart materials that act more like human skin, dynamically and responsively, and can shade a room from sun and self-ventilate."
1187,Caring for engineered tissue,"['tedfellows', 'biology', 'biomimicry', 'biotech', 'science']","Tissue engineer and TED Fellow Nina Tandon is growing artificial hearts and bones. To do that, she needs new ways of caring for artificially grown cells -- techniques she's developed by the simple but powerful method of copying their natural environments."
2201,How our microbes make us who we are,"['tedbooks', 'biology', 'health']","Rob Knight is a pioneer in studying human microbes, the community of tiny single-cell organisms living inside our bodies that have a huge â and largely unexplored â role in our health. âThe three pounds of microbes that you carry around with you might be more important than every single gene you carry around in your genome,â he says. Find out why."
860,Why I'm a weekday vegetarian,"['culture', 'food', 'globalissues', 'green']","We all know the arguments that being vegetarian is better for the environment and for the animals -- but in a carnivorous culture, it can be hard to make the change. Graham Hill has a powerful, pragmatic suggestion: Be a weekday veg."
1011,Making law on the high seas,"['globalissues', 'law', 'missionblue', 'oceans', 'politics', 'science', 'globalcommons']","Kristina Gjerde studies the law of the high seas -- the 64 percent of our ocean that isn't protected by any national law at all. Gorgeous photos show the hidden worlds that Gjerde and other lawyers are working to protect from trawling and trash-dumping, through smart policymaking and a healthy dose of PR."
2413,Capitalism will eat democracy -- unless we speak up,"['activism', 'bigproblems', 'economics', 'democracy', 'business', 'finance', 'globalissues', 'investment', 'government', 'politics', 'europe', 'society', 'capitalism', 'money', 'unitedstates']","Have you wondered why politicians aren't what they used to be, why governments seem unable to solve real problems? Economist Yanis Varoufakis, the former Minister of Finance for Greece, says that it's because you can be in politics today but not be in power -- because real power now belongs to those who control the economy. He believes that the mega-rich and corporations are cannibalizing the political sphere, causing financial crisis. In this talk, hear his dream for a world in which capital and labor no longer struggle against each other, ""one that is simultaneously libertarian, Marxist and Keynesian."""
2001,The loves and lies of fireflies,"['biology', 'evolution', 'insects']","Biologist Sara Lewis has spent the past 20 years getting to the bottom of the magic and wonder of fireflies. In this charming talk, she tells us how and why the beetles produce their silent sparks, what happens when two fireflies have sex, and why one group of females is known as the firefly vampire. (It's not pretty.) Find out more astonishing facts about fireflies in Lewis' footnotes, below."
2664,Meet the inventor of the electronic spreadsheet,"['business', 'code', 'collaboration', 'computers', 'design', 'data', 'discovery', 'history', 'innovation', 'invention', 'potential', 'math', 'productdesign', 'productivity', 'technology', 'tedx', 'work', 'visualizations']","Dan Bricklin changed the world forever when he codeveloped VisiCalc, the first electronic spreadsheet and grandfather of programs you probably use every day like Microsoft Excel and Google Sheets. Join the software engineer and computing legend as he explores the tangled web of first jobs, daydreams and homework problems that led to his transformational invention."
718,Fusion is energy's future,"['alternativeenergy', 'climatechange', 'energy', 'environment', 'physics']","Physicist Steven Cowley is certain that nuclear fusion is the only truly sustainable solution to the fuel crisis. He explains why fusion will work -- and details the projects that he and many others have devoted their lives to, working against the clock to create a new source of energy."
1161,Wearing nothing new,"['consumerism', 'creativity', 'culture', 'design', 'fashion']","Designer Jessi Arrington packed nothing for TEDActive but 7 pairs of undies, buying the rest of her clothes in thrift stores around LA. It's a meditation on conscious consumption -- wrapped in a rainbow of color and creativity."
2470,Two reasons companies fail -- and how to avoid them,"['business', 'creativity', 'curiosity', 'goal-setting', 'motivation', 'innovation', 'potential', 'success', 'work', 'leadership']","Is it possible to run a company and reinvent it at the same time? For business strategist Knut Haanaes, the ability to innovate after becoming successful is the mark of a great organization. He shares insights on how to strike a balance between perfecting what we already know and exploring totally new ideas -- and lays out how to avoid two major strategy traps."
2364,Social services are broken. How we can fix them,"['bigproblems', 'community', 'socialchange']","When a family falls into crisis -- and it sometimes happens, thanks to unemployment, drugs, bad relationships and bad luck -- the social services system is supposed to step in and help them get back on track. As Hilary Cottam shows, in the UK a typical family in crisis can be eligible for services from more than 70 different agencies, but it's unlikely that any one of them can really make a difference. Cottam, a social entrepreneur herself, asks us to think about the ways we solve deep and complex social problems. How can we build supportive, enthusiastic relationships between those in need and those that provide help?"
8589,The hidden role informal caregivers play in health care,"['healthcare', 'illness', 'humanity', 'health', 'personalgrowth', 'society']","Once a cared-for patient and now a caregiver himself, Scott Williams highlights the invaluable role of informal caregivers -- those friends and relatives who, out of love, go the extra mile for patients in need. From personal care to advocacy to emotional support, unpaid caregivers form the invisible backbone of health and social systems all over the world, Williams says -- and without them, these systems would crumble. ""How can we make sure that their value to patients and society is recognized?"" he asks."
657,"Robots that ""show emotion""","['bodylanguage', 'demo', 'design', 'engineering', 'entertainment', 'robots', 'technology']","David Hanson's robot faces look and act like yours: They recognize and respond to emotion, and make expressions of their own. Here, an ""emotional"" live demo of the Einstein robot offers a peek at a future where robots truly mimic humans."
1927,The investment logic for sustainability,"['business', 'finance', 'investment', 'sustainability']","Sustainability is pretty clearly one of the world's most important goals; but what groups can really make environmental progress in leaps and bounds? Chris McKnett makes the case that it's large institutional investors. He shows how strong financial data isn't enough, and reveals why investors need to look at a company's environmental, social and governance structures, too."
495,Cool tricks your phone can do,"['culture', 'technology', 'bestoftheweb']","In this engaging talk from the EG'08 conference, New York Times tech columnist David Pogue rounds up some handy cell phone tools and services that can boost your productivity and lower your bills (and your blood pressure)."
2332,How to find work you love,"['tedx', 'business', 'entrepreneur', 'happiness', 'work', 'work-lifebalance']","Scott Dinsmore quit a job that made him miserable, and spent the next four years wondering how to find work that was joyful and meaningful. He shares what he learned in this deceptively simple talk about finding out what matters to you â and then getting started doing it."
101,Casting a spell on the cello,"['cello', 'entertainment', 'music', 'performance', 'vocals', 'livemusic']","Caroline Lavelle plays the cello like a sorceress casting a spell, occasionally hiding behind her wild mane of blond hair as she sings of pastoral themes. She performs ""Farther than the Sun,"" backed by Thomas Dolby on keyboards."
