id,title,budget,genres,overview,revenue,runtime,vote_average,vote_count,year
9087,The American President,62000000.0,"['Comedy', 'Drama', 'Romance']","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",107879496,106.0,6.5,199,1995
12110,Dracula: Dead and Loving It,0.0,"['Comedy', 'Horror']","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",0,88.0,5.7,210,1995
21032,Balto,0.0,"['Family', 'Animation', 'Adventure']","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",11348324,78.0,7.1,423,1995
10858,Nixon,44000000.0,"['History', 'Drama']","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",13681765,192.0,7.1,72,1995
1408,Cutthroat Island,98000000.0,"['Action', 'Adventure']","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",10017322,119.0,5.7,137,1995
524,Casino,52000000.0,"['Drama', 'Crime']",The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,116112375,178.0,7.8,1343,1995
4584,Sense and Sensibility,16500000.0,"['Drama', 'Romance']","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",135000000,136.0,7.2,364,1995
5,Four Rooms,4000000.0,"['Crime', 'Comedy']",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,4300000,98.0,6.5,539,1995
9273,Ace Ventura: When Nature Calls,30000000.0,"['Crime', 'Comedy', 'Adventure']","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",212385533,90.0,6.1,1128,1995
11517,Money Train,60000000.0,"['Action', 'Comedy', 'Crime']","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",35431113,103.0,5.4,224,1995
8012,Get Shorty,30250000.0,"['Comedy', 'Thriller', 'Crime']","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",115101622,105.0,6.4,305,1995
1710,Copycat,0.0,"['Drama', 'Thriller']",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,0,124.0,6.5,199,1995
9691,Assassins,50000000.0,"['Action', 'Adventure', 'Crime', 'Thriller']","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",30303072,132.0,6.0,394,1995
12665,Powder,0.0,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",0,111.0,6.3,143,1995
451,Leaving Las Vegas,3600000.0,"['Drama', 'Romance']","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",49800000,112.0,7.1,365,1995
16420,Othello,0.0,['Drama'],The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,0,123.0,7.0,33,1995
9263,Now and Then,12000000.0,"['Comedy', 'Drama', 'Family']","Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",27400000,100.0,6.6,91,1995
17015,Persuasion,0.0,"['Drama', 'Romance']","This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",0,104.0,7.4,36,1995
902,The City of Lost Children,18000000.0,"['Fantasy', 'Science Fiction', 'Adventure']","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1738611,108.0,7.6,308,1995
37557,Shanghai Triad,0.0,"['Drama', 'Crime']",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,0,108.0,6.5,17,1995
9909,Dangerous Minds,0.0,"['Drama', 'Crime']","Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",180000000,99.0,6.4,249,1995
63,Twelve Monkeys,29500000.0,"['Science Fiction', 'Thriller', 'Mystery']","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",168840000,129.0,7.4,2470,1995
78802,Wings of Courage,0.0,"['Romance', 'Adventure']",,0,50.0,6.8,4,1996
9598,Babe,30000000.0,"['Fantasy', 'Drama', 'Comedy', 'Family']","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",254134910,89.0,6.0,756,1995
47018,Carrington,0.0,"['History', 'Drama', 'Romance']","The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",0,121.0,6.4,16,1995
687,Dead Man Walking,11000000.0,['Drama'],A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,39363635,122.0,7.3,350,1995
139405,Across the Sea of Time,0.0,"['Adventure', 'History', 'Drama', 'Family']","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0,51.0,3.5,2,1995
33689,It Takes Two,0.0,"['Comedy', 'Family', 'Romance']","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",0,101.0,6.1,149,1995
9603,Clueless,12000000.0,"['Comedy', 'Drama', 'Romance']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",0,97.0,6.9,828,1995
34615,"Cry, the Beloved Country",0.0,['Drama'],A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,676525,106.0,6.7,13,1995
31174,Richard III,0.0,"['Drama', 'War']",Shakespeare's Play transplanted into a 1930s setting.,0,104.0,6.9,50,1995
11443,Dead Presidents,10000000.0,"['Action', 'Crime', 'Drama', 'History']","Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",0,119.0,6.6,80,1995
35196,Restoration,19000000.0,"['Drama', 'Romance']","An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",0,117.0,6.3,30,1995
9312,Mortal Kombat,18000000.0,"['Action', 'Fantasy']","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",122195920,101.0,5.4,452,1995
577,To Die For,20000000.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",21284514,106.0,6.7,177,1995
11861,How To Make An American Quilt,10000000.0,"['Drama', 'Romance']","Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",23574130,116.0,6.5,38,1995
807,Se7en,33000000.0,"['Crime', 'Mystery', 'Thriller']","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",327311859,127.0,8.1,5915,1995
10530,Pocahontas,55000000.0,"['Adventure', 'Animation', 'Drama', 'Family']","History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",346079773,81.0,6.7,1509,1995
8391,When Night Is Falling,0.0,"['Drama', 'Romance']","A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",0,96.0,5.9,10,1995
629,The Usual Suspects,6000000.0,"['Drama', 'Crime', 'Thriller']","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",23341568,106.0,8.1,3334,1995
117164,Guardian Angel,0.0,"['Action', 'Thriller', 'Drama']","Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",0,93.0,6.3,3,1994
11448,Mighty Aphrodite,15000000.0,"['Comedy', 'Romance']","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",6700000,95.0,6.7,145,1995
49133,Lamerica,0.0,"['Drama', 'Foreign']","Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",0,116.0,7.7,11,1994
26441,The Big Green,0.0,"['Action', 'Adventure', 'Comedy', 'Family']","In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",0,100.0,5.2,41,1995
97406,Georgia,0.0,['Drama'],"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",0,115.0,6.1,15,1995
124057,Kids of the Round Table,0.0,[],"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",0,89.0,3.0,1,1997
9089,Home for the Holidays,0.0,"['Comedy', 'Drama', 'Romance']","After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",17519169,103.0,6.3,39,1995
11010,The Postman,0.0,"['Comedy', 'Drama', 'Romance']",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,0,108.0,7.6,181,1994
99040,The Confessional,0.0,"['Thriller', 'Drama', 'Mystery']","The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",0,100.0,6.5,2,1995
11359,The Indian in the Cupboard,45000000.0,"['Adventure', 'Family', 'Fantasy']",A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,0,96.0,5.9,136,1995
17182,Eye for an Eye,20000000.0,"['Drama', 'Thriller']","It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",0,101.0,5.8,65,1996
2054,Mr. Holland's Opus,0.0,"['Music', 'Drama', 'Family']","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",106269971,137.0,6.9,115,1995
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.0,['Comedy'],"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",0,89.0,6.2,192,1996
19760,Two If by Sea,0.0,"['Comedy', 'Romance']","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",0,96.0,4.5,14,1996
9536,Bio-Dome,15000000.0,['Comedy'],"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",0,88.0,4.4,110,1996
11525,Lawnmower Man 2: Beyond Cyberspace,0.0,"['Action', 'Science Fiction']","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",2409225,92.0,2.8,32,1996
40628,Two Bits,0.0,"['Drama', 'Family']","It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",0,85.0,5.4,11,1995
4482,French Twist,0.0,"['Comedy', 'Romance']","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",0,95.0,6.0,43,1995
10634,Friday,3500000.0,['Comedy'],"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",28215918,91.0,7.0,513,1995
755,From Dusk Till Dawn,19000000.0,"['Horror', 'Action', 'Thriller', 'Crime']","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",25836616,108.0,6.9,1644,1996
11859,Fair Game,50000000.0,"['Action', 'Thriller', 'Romance']","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",11534477,91.0,4.1,54,1995
28387,Kicking and Screaming,0.0,"['Comedy', 'Drama', 'Romance']","After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",718490,96.0,7.0,36,1995
48750,Les Miserables,0.0,"['Drama', 'History']","In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",0,175.0,6.6,8,1995
20927,Bed of Roses,0.0,"['Drama', 'Romance']","The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",19030691,87.0,5.1,27,1996
36929,Big Bully,15000000.0,"['Comedy', 'Family']","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2042530,90.0,3.9,16,1996
9102,Screamers,20000000.0,"['Horror', 'Science Fiction']","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",5781885,108.0,6.1,154,1995
124626,Nico Icon,0.0,['Documentary'],"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",0,70.0,7.3,3,1995
27526,The Crossing Guard,0.0,"['Drama', 'Thriller']","After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",0,111.0,6.1,74,1995
9623,The Juror,44000000.0,"['Drama', 'Thriller']","With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",0,118.0,5.5,91,1996
46785,The White Balloon,0.0,"['Family', 'Drama']",Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,0,85.0,7.5,20,1995
400,Things to Do in Denver When You're Dead,8000000.0,"['Drama', 'Crime']",A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,529766,116.0,6.7,87,1995
880,Antonia's Line,900000.0,"['Drama', 'Comedy']","After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",0,102.0,7.2,26,1995
146599,Once Upon a Time... When We Were Colored,0.0,"['Romance', 'Drama']","This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",0,115.0,4.5,2,1996
188588,Last Summer in the Hamptons,0.0,[],"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.",0,108.0,0.0,0,1995
8447,Angels and Insects,0.0,"['Drama', 'Romance']","In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",0,118.0,6.3,17,1995
10534,White Squall,38000000.0,"['Action', 'Drama']",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,10300000,129.0,6.3,86,1996
17414,Dunston Checks In,16000000.0,"['Adventure', 'Comedy', 'Family']","Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",0,88.0,5.1,59,1996
13997,Black Sheep,0.0,['Comedy'],"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",32,87.0,6.0,124,1996
2086,Nick of Time,8169363.0,"['Crime', 'Drama', 'Thriller']","Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",8175346,90.0,6.1,190,1995
